Date,Nifty close,Change,Nifty (n-1) close,20DMA,Nifty - 20DMA,Nifty - 20DMA squared,20DMA crossing,10D MA change,Range,ATR,OI change,COI change,PCR TW,RSI,FII net,DII net,FII + DII net,PE,10D MA FII net,10D MA DII net,Range between Max Ois,PCR TW change,PE change,Up streak,Down streak,Up,Down,Up 2.17%,Down 2.07%,Up 1.11% to 2.17%,Down 1.01% to 2.07%,Up upto 1.11%,Down upto 1.01%,Classification
12-01-2021,14564.85,1.4,14484.75,13916.87857,646.5714286,418054.6122,0,63.085,153.95,168.0718,527,1198,1.46,94.90,571.47,-1334.5,-763.03,39.94,1593.464,-966.799,800,-0.06,0.22,3,0,1,0,0,0,0,0,1,0,Up to 1SD
13-01-2021,14595.6,30.75,14563.45,13964.81667,600.0333333,360040.0011,0,58.29,216.05,171.6131,-8940,-8059,1.07,94.27,1879.06,-2370.17,-491.11,39.94,1598.918,-1145.073,100,-0.39,0,4,0,1,0,0,0,0,0,1,0,Up to 1SD
14-01-2021,14433.7,-161.9,14564.85,14013.75714,581.8428571,338541.1104,0,61.385,144.8,169.805,79,686,1.06,93.58,1076.62,-188.1,888.52,40.03,1593.021,-1138.119,500,-0.01,0.09,5,0,1,0,0,0,0,0,1,0,Down to 1SD
15-01-2021,14281.3,-152.4,14595.6,14049.51905,384.1809524,147595.0042,0,41.52,257.35,176.2189,-5679,-5064,0.62,77.78,971.06,-942.07,28.99,39.34,1639.506,-1239.266,600,-0.44,-0.69,0,1,0,1,0,0,0,1,0,0,Down 1SD to 2SD
18-01-2021,14521.15,239.85,14433.7,14075.2619,206.0380952,42451.69669,0,9.55,230.2,180.51,-8180,-5769,0.58,65.82,650.6,-42.51,608.09,38.92,1520.244,-1171.996,600,-0.04,-0.42,0,2,0,1,0,0,0,1,0,0,Down 1SD to 2SD
19-01-2021,14644.7,123.55,14281.3,14111.48095,409.6690476,167828.7286,0,32.165,194.35,186.5309,-2246,1026,0.95,70.86,257.55,-199.3,58.25,39.22,1447.369,-1142.923,200,0.37,0.3,1,0,1,0,0,0,1,0,0,0,Up 1SD to 2SD
20-01-2021,14590.35,-54.35,14521.15,14174.1619,470.5380952,221406.0991,0,49.845,148.2,183.8429,5722,9050,1.06,73.41,2289.05,-864.62,1424.43,39.55,1724.644,-1191.344,200,0.11,0.33,2,0,1,0,0,0,0,0,1,0,Down to 1SD
21-01-2021,14371.9,-218.45,14644.7,14227.6881,362.6619048,131523.6572,0,45.3,234.05,187.5899,-4092,-2057,1.34,69.95,1614.66,-1039.48,575.18,39.41,1847.88,-1196.342,400,0.28,-0.14,0,1,0,1,0,0,0,0,0,1,Down to 1SD
22-01-2021,14238.9,-133,14590.35,14264.39286,107.5071429,11557.78577,0,2.465,260.45,192.9156,-10437,-9352,0.76,57.77,-635.69,-1290.35,-1926.04,38.86,1181.328,-1088.123,700,-0.58,-0.55,0,2,0,1,0,0,0,1,0,0,Down 1SD to 2SD
25-01-2021,13967.5,-271.4,14371.9,14287.70952,-48.80952381,2382.369615,0,-24.625,229.75,198.6002,-24124,4068,0.72,51.23,-765.3,-387.76,-1153.06,38.42,790.908,-865.886,500,-0.04,-0.44,0,3,0,1,0,0,0,0,0,1,Down to 1SD
27-01-2021,13817.55,-149.95,14238.9,14292.2,-324.7,105430.09,0,-59.595,308.3,206.5288,-42174,-5619,0.62,45.09,-1688.26,-3.38,-1691.64,37.52,564.935,-732.774,1000,-0.1,-0.9,0,4,0,1,0,0,0,1,0,0,Down 1SD to 2SD
